2026-08-02 17:53:15,328 | INFO | __main__ | Loading environment variables from .env file
2026-08-02 17:53:15,333 | INFO | __main__ | Initializing Logfire configuration
2026-08-02 17:53:15,430 | INFO | __main__ | Logfire configuration completed successfully
2026-08-02 17:53:15,431 | INFO | __main__ | Instrumenting OpenAI client calls with Logfire
2026-08-02 17:53:15,710 | INFO | __main__ | Instantiating OpenAI client connecting to LiteLLM Proxy at: http://localhost:4000/v1
2026-08-02 17:53:16,436 | INFO | __main__ | OpenAI client instantiated successfully
2026-08-02 17:53:16,436 | INFO | __main__ | === Starting LiteLLM Semantic Inspector Pipeline ===
2026-08-02 17:53:16,500 | INFO | __main__ | --- Comparing DRY vs SOLID Principle Vector Distances ---
2026-08-02 17:53:16,500 | INFO | __main__ | Requesting embedding generation for prompt: 'What is DRY Principle?'
2026-08-02 17:53:22,407 | INFO | openai._base_client | Retrying request to /embeddings in 0.463321 seconds
2026-08-02 17:53:26,964 | INFO | openai._base_client | Retrying request to /embeddings in 0.810778 seconds
