2026-08-02 18:33:55,251 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-02 18:33:55,251 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-02 18:33:55,252 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-02 18:33:55,252 | INFO | __main__ | Loading environment variables from .env file
2026-08-02 18:33:55,254 | INFO | observability.tracing | Checking LangSmith tracing configuration...
2026-08-02 18:33:55,255 | INFO | observability.tracing | LangSmith tracing is set to: true
2026-08-02 18:33:55,255 | INFO | observability.tracing | LangSmith tracing ENABLED - project 'litellm', traces at https://smith.langchain.com
2026-08-02 18:33:55,255 | INFO | __main__ | Initializing Logfire configuration
2026-08-02 18:33:55,317 | INFO | __main__ | Logfire configuration completed successfully
2026-08-02 18:33:55,318 | INFO | __main__ | Instrumenting OpenAI client calls with Logfire
2026-08-02 18:33:55,445 | INFO | __main__ | Instantiating OpenAI client connecting to LiteLLM Proxy at: http://localhost:4000/v1
2026-08-02 18:33:55,807 | INFO | __main__ | OpenAI client instantiated successfully
2026-08-02 18:33:55,807 | INFO | __main__ | === Starting LiteLLM Semantic Inspector Pipeline ===
2026-08-02 18:33:55,807 | INFO | __main__ | --- Comparing DRY vs SOLID Principle Vector Distances ---
2026-08-02 18:33:55,807 | INFO | __main__ | Requesting embedding generation for prompt: 'What is DRY Principle?'
2026-08-02 18:34:04,541 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:34:04,612 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:34:04,619 | INFO | __main__ | Requesting embedding generation for prompt: 'What is SOLID Principle'
2026-08-02 18:34:04,899 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:34:04,903 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:34:04,908 | INFO | __main__ | Calculating cosine distance between two vectors
2026-08-02 18:34:04,911 | INFO | __main__ | Computed cosine distance: 0.3019
2026-08-02 18:34:04,912 | INFO | __main__ | Executing Query 1 (Expect Cache Miss)
2026-08-02 18:34:04,912 | INFO | __main__ | Executing query against semantic cache with prompt: 'What is Load balancer?'
2026-08-02 18:34:04,914 | INFO | __main__ | Requesting embedding generation for prompt: 'What is Load balancer?'
2026-08-02 18:34:05,143 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:34:05,147 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:34:05,151 | INFO | __main__ | Sending chat completion request to LiteLLM proxy
2026-08-02 18:34:05,634 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-02 18:34:05,646 | INFO | __main__ | Received chat completion response successfully
2026-08-02 18:34:05,648 | INFO | __main__ | Executing Query 2 (Expect Semantic Cache Hit)
2026-08-02 18:34:05,648 | INFO | __main__ | Executing query against semantic cache with prompt: 'Tell me about Load Balancer'
2026-08-02 18:34:05,648 | INFO | __main__ | Requesting embedding generation for prompt: 'Tell me about Load Balancer'
2026-08-02 18:34:05,882 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/embeddings "HTTP/1.1 200 OK"
2026-08-02 18:34:05,887 | INFO | __main__ | Successfully generated embedding for text. Vector dimension: 1024
2026-08-02 18:34:05,891 | INFO | __main__ | Sending chat completion request to LiteLLM proxy
2026-08-02 18:34:06,192 | INFO | httpx | HTTP Request: POST http://localhost:4000/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-02 18:34:06,194 | INFO | __main__ | Received chat completion response successfully
2026-08-02 18:34:06,195 | INFO | __main__ | === Pipeline Execution Complete ===
