2026-08-09 04:05:48,385 | INFO | server.main | Loading Guardrails configuration from C:\Users\gaura\OneDrive\Desktop\fde\LLM_Gateways\guardRails\config
2026-08-09 04:05:48,512 | INFO | nemoguardrails.actions.action_dispatcher | Initializing action dispatcher
2026-08-09 04:05:48,516 | INFO | nemoguardrails.actions.action_dispatcher | Added create_event to actions
2026-08-09 04:05:48,517 | INFO | nemoguardrails.actions.action_dispatcher | Added wolfram alpha request to actions
2026-08-09 04:05:48,519 | INFO | nemoguardrails.actions.action_dispatcher | Added retrieve_relevant_chunks to actions
2026-08-09 04:05:48,533 | INFO | nemoguardrails.actions.action_dispatcher | Added call_activefence_api to actions
2026-08-09 04:05:48,535 | INFO | nemoguardrails.actions.action_dispatcher | Added ai_defense_inspect to actions
2026-08-09 04:05:48,537 | INFO | nemoguardrails.actions.action_dispatcher | Added GetAttentionPercentageAction to actions
2026-08-09 04:05:48,537 | INFO | nemoguardrails.actions.action_dispatcher | Added UpdateAttentionMaterializedViewAction to actions
2026-08-09 04:05:48,538 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_factcheck_output_api to actions
2026-08-09 04:05:48,538 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_groundedness_output_api to actions
2026-08-09 04:05:48,539 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_input_api to actions
2026-08-09 04:05:48,539 | INFO | nemoguardrails.actions.action_dispatcher | Added autoalign_output_api to actions
2026-08-09 04:05:48,548 | INFO | nemoguardrails.actions.action_dispatcher | Added ClavataCheckAction to actions
2026-08-09 04:05:48,550 | INFO | nemoguardrails.actions.action_dispatcher | Added call cleanlab api to actions
2026-08-09 04:05:48,552 | INFO | nemoguardrails.actions.action_dispatcher | Added content_safety_check_input to actions
2026-08-09 04:05:48,552 | INFO | nemoguardrails.actions.action_dispatcher | Added content_safety_check_output to actions
2026-08-09 04:05:48,552 | INFO | nemoguardrails.actions.action_dispatcher | Added detect_language to actions
2026-08-09 04:05:48,554 | INFO | nemoguardrails.actions.action_dispatcher | Added context_bloat_detection to actions
2026-08-09 04:05:48,557 | INFO | nemoguardrails.actions.action_dispatcher | Added crowdstrike_aidr_guard to actions
2026-08-09 04:05:48,563 | INFO | nemoguardrails.actions.action_dispatcher | Added alignscore_check_facts to actions
2026-08-09 04:05:48,564 | INFO | nemoguardrails.actions.action_dispatcher | Added alignscore request to actions
2026-08-09 04:05:48,564 | INFO | nemoguardrails.actions.action_dispatcher | Added self_check_facts to actions
2026-08-09 04:05:48,565 | INFO | nemoguardrails.actions.action_dispatcher | Added call fiddler faithfulness to actions
2026-08-09 04:05:48,565 | INFO | nemoguardrails.actions.action_dispatcher | Added call fiddler safety on bot message to actions
2026-08-09 04:05:48,565 | INFO | nemoguardrails.actions.action_dispatcher | Added call fiddler safety on user message to actions
2026-08-09 04:05:48,566 | INFO | nemoguardrails.actions.action_dispatcher | Added call gcpnlp api to actions
2026-08-09 04:05:48,572 | INFO | nemoguardrails.actions.action_dispatcher | Added gliner_detect_pii to actions
